filename,size_bytes,exif_DateTimeOriginal,xmp_DateCreated,fs_birthtime_local,fs_birthtime_utc,assetsd_timeZoneName,assetsd_creatorBundleID,assetsd_importedByDisplayName,exif_UserComment,assetsd_cloudAsset_UUID,assetsd_UUID,quarantine_agent,quarantine_timestamp_utc,sha256
IMG_3336.PNG,456904,2026:08:08 01:06:52,2026-08-08T01:06:52,2026-08-08 01:06:52,2026-08-07 17:06:52 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,F72CD4F8-8223-4E8D-B544-70EA809BF552,F72CD4F8-8223-4E8D-B544-70EA809BF552,sharingd,2026-08-07 17:13:29 UTC,fb098e752fe5a727a1b82bc3b14a48f893ecd914d5054fd77ed389a4828222a5
IMG_3337.PNG,511895,2026:08:08 01:06:54,2026-08-08T01:06:54,2026-08-08 01:06:54,2026-08-07 17:06:54 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,E195CA51-6E87-4BC3-A80F-1FD37ACA829F,E195CA51-6E87-4BC3-A80F-1FD37ACA829F,sharingd,2026-08-07 17:13:29 UTC,90d2cc09f85ede4d0d9d606cab685dbc50c853ef9614fe3cf4b84a9373daab62
IMG_3338.PNG,521289,2026:08:08 01:06:56,2026-08-08T01:06:56,2026-08-08 01:06:56,2026-08-07 17:06:56 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,393E487B-1574-4212-8050-1841676A9B12,393E487B-1574-4212-8050-1841676A9B12,sharingd,2026-08-07 17:13:29 UTC,d001c7de3c4855133ac8722f11a6842989c35833e89c31d752a4a0feb7f03638
IMG_3339.PNG,487305,2026:08:08 01:06:59,2026-08-08T01:06:59,2026-08-08 01:06:59,2026-08-07 17:06:59 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,0C84E173-7430-41B6-A558-28331765BD3B,0C84E173-7430-41B6-A558-28331765BD3B,sharingd,2026-08-07 17:13:29 UTC,fb3de90c23e180e4f2f9efbd44fb294cda2ddede9a7283586e11165e060550e5
IMG_3340.PNG,441869,2026:08:08 01:07:02,2026-08-08T01:07:02,2026-08-08 01:07:02,2026-08-07 17:07:02 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,EE2FF8F6-05FE-45EE-B477-E38FF507C2E6,EE2FF8F6-05FE-45EE-B477-E38FF507C2E6,sharingd,2026-08-07 17:13:29 UTC,55ee702047cefd318b8e51d65f0f1901715b014349bc7a666abcd3e63540dfb6
IMG_3341.PNG,436920,2026:08:08 01:07:04,2026-08-08T01:07:04,2026-08-08 01:07:04,2026-08-07 17:07:04 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,2C878324-1B9B-43F3-BC49-E903FBB00CAA,2C878324-1B9B-43F3-BC49-E903FBB00CAA,sharingd,2026-08-07 17:13:29 UTC,256ef7154c6c1947b0799b52993d070e75388dcb33f1e7992a2bd7764f39fd5a
IMG_3342.PNG,455439,2026:08:08 01:07:06,2026-08-08T01:07:06,2026-08-08 01:07:06,2026-08-07 17:07:06 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,5FDF1352-A717-4565-AB08-56C3BDC0EA0D,5FDF1352-A717-4565-AB08-56C3BDC0EA0D,sharingd,2026-08-07 17:13:29 UTC,47f5b2beed02ee0f2cf45fb810016803331fe9386a8636347968918a534ba521
IMG_3343.PNG,457682,2026:08:08 01:07:08,2026-08-08T01:07:08,2026-08-08 01:07:08,2026-08-07 17:07:08 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,B5BBA4EA-2BC3-443F-9BAA-D39C1E5526CD,B5BBA4EA-2BC3-443F-9BAA-D39C1E5526CD,sharingd,2026-08-07 17:13:29 UTC,871bfb81ec9de2427854e60d660c8091362d4d6bb87b4bfd3762799ff42ece4d
IMG_3344.PNG,471544,2026:08:08 01:07:10,2026-08-08T01:07:10,2026-08-08 01:07:10,2026-08-07 17:07:10 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,9642A3A3-B04D-4AC9-92F8-BDC9AF584953,9642A3A3-B04D-4AC9-92F8-BDC9AF584953,sharingd,2026-08-07 17:13:29 UTC,f10046f921f4dd1b6c8c71f326373434956d9b0d830b7239f9ffed7959b5fa7b
IMG_3345.PNG,469773,2026:08:08 01:07:11,2026-08-08T01:07:11,2026-08-08 01:07:11,2026-08-07 17:07:11 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,CDEE25A2-E2C3-4680-A066-D66AFE724445,CDEE25A2-E2C3-4680-A066-D66AFE724445,sharingd,2026-08-07 17:13:29 UTC,e5bea6a3005208c3c4cfe3506a733646a5607f9083ccf19695eac0d9ff19cc96
